,siren,division,categorieEntreprise,dateCreationUniteLegale,annee,CIR,nb_brevets,Id_ETI,annee_creation
346,429754096,62,ETI,2000-03-01,2016,0.0,0.0,1,2000
347,429838485,96,ETI,2000-03-01,2016,0.0,0.0,1,2000
348,429853351,25,ETI,2000-03-13,2016,673812.0,5.0,1,2000
349,429980568,20,GE,2000-03-02,2016,658912.0,0.0,0,2000
350,430006643,20,ETI,2000-03-10,2016,4443684.0,6.0,1,2000
351,430036897,62,GE,2000-03-17,2016,170225.0,0.0,0,2000
352,430151597,71,ETI,2000-03-09,2016,3933.0,0.0,1,2000
353,430174482,71,GE,2000-03-28,2016,0.0,0.0,0,2000
354,430195271,62,ETI,2000-03-15,2016,433676.0,0.0,1,2000
355,430219980,62,ETI,2000-04-03,2016,0.0,0.0,1,2000
356,430291518,29,ETI,2000-03-28,2016,0.0,0.0,1,2000
357,430434787,71,ETI,2000-04-25,2016,0.0,0.0,1,2000
358,431291889,21,ETI,2000-03-13,2016,0.0,0.0,1,2000
359,431401439,62,ETI,2000-05-01,2016,0.0,0.0,1,2000
360,431418995,29,ETI,2000-04-10,2016,0.0,0.0,1,2000
361,431599828,25,ETI,2000-05-02,2016,0.0,0.0,1,2000
362,431802511,62,GE,2000-05-24,2016,2022000.0,0.0,0,2000
363,431897081,71,GE,2000-06-09,2016,0.0,0.0,0,2000
364,431939990,62,ETI,2000-05-01,2016,0.0,0.0,1,2000
365,432032712,20,ETI,2000-07-01,2016,696430.0,0.0,1,2000
366,432086049,72,ETI,2000-07-01,2016,0.0,0.0,1,2000
367,432179257,95,ETI,2000-06-27,2016,3000.0,0.0,1,2000
368,432285179,22,ETI,2000-07-03,2016,96051.0,0.0,1,2000
369,432307932,62,ETI,2000-07-01,2016,0.0,0.0,1,2000
370,432456762,71,ETI,2000-04-26,2016,0.0,0.0,1,2000
371,432554996,21,ETI,2000-08-14,2016,0.0,2.0,1,2000
372,432595858,62,ETI,2000-08-01,2016,0.0,0.0,1,2000
373,432610426,62,GE,2000-08-16,2016,1607374.0,0.0,0,2000
374,432623130,71,GE,2000-06-30,2016,0.0,0.0,0,2000
375,432673838,62,ETI,2000-07-10,2016,0.0,0.0,1,2000
376,432680122,71,ETI,2000-07-23,2016,782829.0,0.0,1,2000
377,432689479,71,GE,2000-08-01,2016,0.0,0.0,0,2000
378,432937464,71,ETI,2000-10-02,2016,0.0,0.0,1,2000
379,432938710,62,GE,2000-09-01,2016,0.0,1.0,0,2000
380,432941144,71,GE,2000-09-19,2016,33497.0,0.0,0,2000
381,433034782,26,ETI,2000-09-29,2016,0.0,2.0,1,2000
382,433242351,62,ETI,2000-10-15,2016,170750.0,0.0,1,2000
383,433246261,62,ETI,2000-10-13,2016,1246000.0,0.0,1,2000
384,433250834,71,ETI,2000-10-01,2016,383663.0,0.0,1,2000
385,433426558,25,ETI,2000-10-28,2016,445000.0,0.0,1,2000
386,433506433,62,GE,2000-10-16,2016,0.0,0.0,0,2000
387,433624707,62,ETI,2000-11-17,2016,0.0,0.0,1,2000
388,433636693,71,GE,2000-10-01,2016,0.0,0.0,0,2000
389,433661923,71,GE,2000-11-19,2016,0.0,0.0,0,2000
390,433683216,62,GE,2000-11-14,2016,257323.0,0.0,0,2000
391,433731809,71,ETI,2000-11-08,2016,0.0,0.0,1,2000
