siren     ,2016_CIR    ,2017_CIR    ,2018_CIR    ,2019_CIR   ,2020_CIR    ,2021_CIR    ,2022_CIR    ,2023_CIR
408533396 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,            ,
408598324 ,            ,            ,            ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408599975 ,425635.0    ,0.0         ,0.0         ,           ,16066.0     ,10840.0     ,0.0         ,19870.0
408629343 ,40749.0     ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408683225 ,            ,            ,            ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408709897 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408720282 ,3883276.0   ,3954567.0   ,4808710.0   ,5192041.0  ,1642742.0   ,922741.0    ,3376740.0   ,2801241.0
408832301 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408888659 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408953271 ,462910.0    ,310103.0    ,294028.0    ,319797.0   ,355285.0    ,            ,469122.0    ,514911.0
408998193 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409006228 ,            ,            ,            ,           ,            ,            ,0.0         ,
409065984 ,            ,0.0         ,25541.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409122967 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409166840 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409196821 ,1262103.0   ,0.0         ,855405.0    ,836856.0   ,648198.0    ,859554.0    ,902335.0    ,
409197258 ,            ,            ,            ,0.0        ,            ,            ,            ,
409214244 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409379435 ,            ,            ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409448081 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
409463866 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409491685 ,140000.0    ,142506.0    ,180456.0    ,145298.0   ,117000.0    ,33000.0     ,121000.0    ,136000.0
409514692 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409552924 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
409578192 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409612785 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,183922.0    ,82988.0     ,0.0
409699113 ,0.0         ,            ,0.0         ,0.0        ,7297.0      ,0.0         ,0.0         ,0.0
409706520 ,0.0         ,0.0         ,0.0         ,4200.0     ,4196.0      ,0.0         ,0.0         ,43519.0
409714623 ,0.0         ,0.0         ,0.0         ,0.0        ,208000.0    ,208000.0    ,191000.0    ,209000.0
409722956 ,812922.0    ,789411.0    ,1073000.0   ,978365.0   ,1000000.0   ,1594000.0   ,1247000.0   ,0.0
409734340 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409767720 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409768520 ,28300000.0  ,9711000.0   ,8701117.0   ,6768000.0  ,8009000.0   ,9048000.0   ,27300000.0  ,11490000.0
409775202 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409783438 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409790128 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
409886496 ,237000.0    ,120000.0    ,330034.0    ,330034.0   ,98866.0     ,113315.0    ,226756.0    ,140139.0
409900149 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409901782 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409913027 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409935012 ,            ,0.0         ,0.0         ,174664.0   ,0.0         ,7005308.0   ,0.0         ,0.0
409966694 ,            ,            ,0.0         ,0.0        ,0.0         ,            ,            ,
409982709 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409984226 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410004105 ,            ,            ,            ,           ,            ,            ,0.0         ,0.0
410072110 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410079065 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410081640 ,0.0         ,635313.0    ,0.0         ,181181.0   ,57412.0     ,154836.0    ,68234.0     ,0.0
410087159 ,77158.0     ,56609.0     ,77158.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410107882 ,            ,526354.0    ,341016.0    ,382897.0   ,366412.0    ,507748.0    ,718064.0    ,495557.0
410109698 ,0.0         ,0.0         ,0.0         ,196000.0   ,136000.0    ,151000.0    ,276000.0    ,197000.0
410125124 ,98400.0     ,120100.0    ,5110.0      ,0.0        ,218255.0    ,258483.0    ,561889.0    ,
410129894 ,0.0         ,0.0         ,27544.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410140057 ,808399.0    ,0.0         ,0.0         ,546432.0   ,0.0         ,353967.0    ,0.0         ,280553.0
410148258 ,0.0         ,0.0         ,0.0         ,           ,            ,            ,            ,
410206205 ,            ,30201.0     ,72226.0     ,419988.0   ,0.0         ,0.0         ,0.0         ,0.0
410206270 ,99517.694   ,5661100.0   ,0.0         ,4871923.0  ,765418.0    ,82791.0     ,1883409.0   ,1209136.0
410206361 ,21929257.0  ,22522271.0  ,1228752.0   ,21138042.0 ,4304281.0   ,696201.0    ,0.0         ,0.0
410206437 ,1396146.0   ,11542.0     ,36199.0     ,644885.0   ,169969.0    ,153347.0    ,0.0         ,
410215115 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
410219042 ,352000.0    ,381000.0    ,333000.0    ,248000.0   ,222000.0    ,162000.0    ,238000.0    ,230000.0
410231120 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410268767 ,0.0         ,0.0         ,657000.0    ,0.0        ,69595.0     ,164602.0    ,79753.0     ,83014.0
410270185 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410275192 ,            ,            ,            ,199813.0   ,0.0         ,51386.0     ,            ,
410279533 ,0.0         ,0.0         ,0.0         ,32224.0    ,247765.0    ,0.0         ,0.0         ,
410289490 ,0.0         ,0.0         ,9881.0      ,3714.0     ,0.0         ,            ,            ,
410295711 ,182803.0    ,197541.0    ,191969.0    ,190398.0   ,193004.0    ,187045.0    ,164247.0    ,173814.0
410309033 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,            ,            ,
410314876 ,2018000.0   ,2010000.0   ,            ,2500000.0  ,8463242.05  ,1900000.0   ,1500000.0   ,900000.0
410322259 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
410327910 ,0.0         ,467335.0    ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
410333389 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,            ,
410333512 ,            ,            ,            ,           ,            ,            ,            ,0.0
