siren,2022_CIR,2023_CIR,2019_CIR,2021_CIR,2018_CIR,2020_CIR,2016_CIR,2017_CIR
813959012,,,,105158.0,,,,
813980935,0.0,0.0,,,,,0.0,0.0
814030508,,,0.0,,,,,
814606331,,,,,0.0,0.0,,
814649513,,,,0.0,,0.0,,
814664645,,,0.0,,,0.0,,
814729422,0.0,,,,,,,
814769360,,,,0.0,0.0,0.0,,
814791323,,,,,,,0.0,
814796835,,,,,,,0.0,
814816500,0.0,,,,,,0.0,0.0
814819223,,,0.0,0.0,,,,
814841557,,,0.0,,,,,
814866232,,,,,,0.0,,
814874376,,,,,oui,0.0,,
814901906,,0.0,,,,,0.0,
814904975,0.0,,,,,,,0.0
814905519,,,0.0,,0.0,,,
814910634,,,,,,,0.0,
814970380,,,,0.0,0.0,0.0,,
814984902,,,,,,,0.0,
815036652,,,,0.0,,0.0,,
815068788,,,,,0.0,29640.0,,
815141635,,,,,,,0.0,
815152467,,,0.0,,4954.0,0.0,,
815173844,0.0,,,,,,,0.0
815200738,,,,,87365.0,0.0,,
815226964,,,0.0,0.0,,,,
815232848,,,0.0,0.0,0.0,,,
815251194,,0.0,,,,,,
815255773,1436000.0,,,,,,,0.0
815257134,,0.0,,,,,0.0,
815260393,,79915.0,,,,,,
815265335,,,,474072.0,384604.0,402943.0,,
815285325,,,0.0,0.0,0.0,,,
815316070,,,,,,,0.0,
815359930,,,,,,,0.0,
815399456,,7958.0,,,,,0.0,0.0
815404645,,,,,0.0,0.0,,
815420344,0.0,0.0,,,,,0.0,0.0
816320436,,0.0,,,,,65941.0,
816520605,0.0,,,,,,,0.0
817389588,,,,,0.0,0.0,,
817403082,,0.0,,,,,0.0,
817434996,0.0,,,,,,,0.0
817439524,2971000.0,3793000.0,,,,,0.0,366315.0
817439557,,,,,,,,0.0
817439599,,,,,0.0,6089000.0,,
817439615,0.0,,,,,,0.0,0.0
817440308,0.0,,,,,,,0.0
817459209,,,,,,,0.0,
817465636,,,,,,,,1207.0
818219891,,,,0.0,,,,
818225278,0.0,,,,,,,
818269151,0.0,0.0,,,,,,
818337263,,,,,136963.0,0.0,,
818347924,,,,,,0.0,,
818373227,,,,0.0,,,,
818381626,,0.0,,,,,,
818403917,,,0.0,0.0,,,,
818458473,,,,,0.0,0.0,,
818470817,,,,,,,752474.0,
818488207,,0.0,,,,,6403.0,
818544173,,,0.0,0.0,0.0,,,
818607848,,0.0,,,,,0.0,
818624926,,,0.0,0.0,,,,
818705055,,,,0.0,,,,
818705774,,,0.0,0.0,,,,
818785693,,,0.0,,0.0,0.0,,
818937484,0.0,,,,,,,0.0
818953697,,,80000.0,,,,,
818960486,,,0.0,0.0,0.0,,,
819028978,,,,,0.0,0.0,,
819102062,,,0.0,0.0,,0.0,,
819128281,,,,0.0,,0.0,,
819184276,,,130620.0,239122.0,,,,
819283383,,0.0,,,,,,
819332172,,,0.0,,,0.0,,
819371170,,,0.0,0.0,0.0,,,
819371238,,,0.0,0.0,,,,
819400953,,,,,,,,0.0
819460478,,,,,,,0.0,
819491168,0.0,,,,,,,0.0
819552514,,44636.0,,,,,82647.0,
819679457,,,,0.0,,,,
819728759,0.0,,,,,,,
819734682,,,0.0,542500.0,,0.0,,
819779406,,,0.0,0.0,,,0.0,
819801374,,,0.0,0.0,,0.0,,
819926684,0.0,,,,,,,0.0
820040954,,,1032045.0,1053023.0,,,,
820103877,,,,0.0,0.0,,,
820123859,,,0.0,,,,,
820200343,0.0,0.0,,,,,,
820295954,,,0.0,0.0,0.0,,,
820298529,,,,,0.0,,,
820324622,,,,,0.0,0.0,,
820363331,240000.0,,,,,,,0.0
820574960,0.0,,,,,,,
820613446,,3690734.0,,,,,,
820650125,,,,0.0,,,,
820708055,0.0,,,,,,,
820772200,0.0,,,,,,,0.0
820781961,,,0.0,0.0,,,,
820804003,,0.0,,,,,,0.0
820814218,0.0,,,,,,,0.0
820816312,,,,,,,0.0,
820885531,,,,,277829.0,89412.0,,
