siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
347947442,22,1988,2017,0.0,19852.0,1
348195199,25,1988,2017,0.0,74545.0,1
348390626,25,1988,2017,0.0,0.0,1
349357343,25,1989,2017,0.0,2758536.0,1
351305180,26,1989,2017,0.0,639592.0,1
351372677,22,1989,2017,2.0,426037.0,1
351425921,25,1989,2017,0.0,0.0,1
351667928,22,1989,2017,0.0,347862.0,1
351914379,22,1989,2017,1.0,367000.0,1
352050512,30,1989,2017,60.0,0.0,0
352176721,71,1989,2017,2.0,3270000.0,0
352383715,30,1989,2017,86.0,0.0,0
352876197,71,1989,2017,0.0,8465000.0,0
352905707,62,1989,2017,2.0,2846000.0,0
352948434,29,1989,2017,8.0,397770.0,1
358802296,25,1934,2017,7.0,170000.0,1
378168470,25,1990,2017,4.0,11630000.0,0
378297626,71,1990,2017,0.0,1758941.0,1
379821994,62,1990,2017,1.0,4533800.0,1
380344226,25,1990,2017,0.0,0.0,1
383144102,26,1991,2017,1.0,0.0,1
383474814,30,1991,2017,40.0,33630000.0,0
383871746,26,1991,2017,1.0,1475000.0,1
383903390,71,1992,2017,0.0,0.0,0
384093563,20,1991,2017,2.0,0.0,1
384811253,29,1992,2017,1.0,110161.0,1
387949530,71,1992,2017,2.0,0.0,1
388056962,22,1992,2017,5.0,1394117.0,1
388062796,22,1992,2017,1.0,169323.0,1
388866212,20,1992,2017,2.0,2124000.0,1
389470055,22,1992,2017,1.0,591000.0,1
393135298,62,1993,2017,1.0,0.0,1
394671820,29,1994,2017,3.0,1198859.0,1
399395581,26,1994,2017,58.0,19987000.0,0
401791959,71,1995,2017,4.0,1455276.0,1
402222483,21,1995,2017,0.0,946189.0,0
402261234,26,1995,2017,0.0,393000.0,1
402523088,26,1995,2017,0.0,2196179.0,1
403119431,29,1995,2017,0.0,0.0,1
403180805,20,1995,2017,0.0,1484106.0,0
403256944,71,1995,2017,38.0,4400000.0,1
408484277,25,1996,2017,0.0,0.0,1
408720282,32,1996,2017,13.0,3954567.0,1
409722956,29,1996,2017,2.0,789411.0,1
409768520,72,1996,2017,11.0,9711000.0,0
409886496,71,1996,2017,1.0,120000.0,1
410109698,71,1996,2017,3.0,0.0,1
410790448,71,1997,2017,0.0,0.0,1
411018781,71,1997,2017,0.0,89786.0,1
414448464,32,1997,2017,1.0,0.0,1
414815217,30,1997,2017,542.0,50262.0,0
414969584,26,1997,2017,88.0,12338000.0,0
415550284,20,1955,2017,3.0,0.0,1
415750660,20,1957,2017,1.0,1047000.0,1
417350311,21,1984,2017,1.0,7566000.0,1
418397055,32,1998,2017,2.0,129448.0,1
420154809,71,1998,2017,1.0,90921.0,0
420611386,20,1998,2017,11.0,19444764.0,0
420797433,29,1998,2017,16.0,13825628.0,0
420851651,20,1998,2017,1.0,4200.0,1
420916918,30,1998,2017,189.0,0.0,0
421131368,29,1998,2017,4.0,2323328.0,1
421454406,20,1998,2017,0.0,0.0,1
428121818,32,1999,2017,0.0,53882.0,1
428564710,26,1999,2017,0.0,354057.0,1
428610398,26,1999,2017,0.0,0.0,1
429526973,20,2000,2017,0.0,0.0,1
429853351,25,2000,2017,2.0,2467702.0,1
430006643,20,2000,2017,10.0,5224920.0,1
430036897,62,2000,2017,0.0,50939.42,0
432032712,20,2000,2017,1.0,515151.0,1
432937464,71,2000,2017,2.0,0.0,1
432938710,62,2000,2017,0.0,149933.0,0
433034782,26,2000,2017,7.0,418940.0,1
433938883,29,2000,2017,0.0,126473.0,1
434027249,26,2000,2017,0.0,359843.0,1
435361209,72,2001,2017,1.0,1400000.0,1
437181076,25,1971,2017,0.0,643215.0,1
438834186,29,2001,2017,163.0,6050000.0,0
439436569,20,2001,2017,2.0,293340.0,0
440278539,72,2001,2017,0.0,389611.0,1
440305282,26,2001,2017,45.0,14485000.0,0
440513059,72,2002,2017,33.0,5531000.0,0
441417110,21,2002,2017,1.0,3417.0,0
441760238,20,2002,2017,0.0,910569.0,1
441815198,22,2002,2017,0.0,0.0,1
442587523,71,2002,2017,1.0,4402.0,1
442694436,29,2002,2017,23.0,14943000.0,1
442993283,20,2002,2017,0.0,0.0,1
443982038,29,2002,2017,3.0,6118964.0,1
444523526,71,2002,2017,0.0,574704.0,1
444719272,26,2003,2017,6.0,790000.0,1
447761636,20,2003,2017,1.0,0.0,0
447993445,62,2003,2017,0.0,527815.0,1
448252254,22,2003,2017,0.0,0.0,0
448777920,21,2003,2017,0.0,0.0,1
449065267,20,2003,2017,1.0,0.0,1
449207414,20,2003,2017,3.0,800000.0,1
450249677,62,2003,2017,4.0,2547794.0,1
450308564,26,2003,2017,5.0,1665000.0,1
452972649,26,2004,2017,2.0,3460000.0,1
478342579,71,2004,2017,0.0,0.0,1
479162695,29,2004,2017,81.0,9296000.0,0
480107911,26,2005,2017,73.0,5639.0,0
480739127,25,2005,2017,2.0,0.0,1
484853213,71,2005,2017,1.0,0.0,0
487565426,25,2005,2017,0.0,221000.0,1
489267781,22,2006,2017,0.0,27148.0,1
