,Unnamed: 0,siren,brevets2016,brevets2017,brevets2018,brevets2019,brevets2020,CIR2016,CIR2017,CIR2018,CIR2019,CIR2020,Id_ETI,dateCreationUniteLegale,division
189,189,322993411,0.0,0.0,0.0,0.0,0.0,65542.0,60815.0,73603.0,0.0,43000.0,1,1971,25
190,190,323025320,0.0,0.0,0.0,0.0,0.0,16212.0,18437.0,859407.0,0.0,0.0,1,1981,20
191,191,323346973,0.0,0.0,0.0,0.0,0.0,193111.0,191076.0,156162.0,0.0,0.0,1,1982,20
192,192,323388058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,29
193,193,323458745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1982,96
194,194,323459974,0.0,1.0,0.0,0.0,0.0,2050000.0,1840000.0,0.0,0.0,1726192.0,0,1981,26
195,195,323592527,0.0,0.0,0.0,0.0,0.0,26517.0,39873.0,0.0,0.0,0.0,1,1982,32
196,196,323601088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,1,1982,25
197,197,323782169,0.0,0.0,0.0,0.0,0.0,396885.0,127830.0,218000.0,0.0,312000.0,1,1977,22
198,198,323840645,0.0,0.0,0.0,0.0,0.0,102700.0,102656.0,2784551.0,2784346.0,2778341.0,1,1982,72
199,199,323947242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171644.0,1,1982,96
200,200,324103829,0.0,0.0,0.0,0.0,0.0,583795.0,1336685.0,1773386.0,3576711.0,3254940.0,0,1982,62
201,201,324165141,0.0,0.0,0.0,0.0,0.0,7431.0,0.0,7555.0,0.0,0.0,1,1982,32
202,202,324214857,0.0,0.0,0.0,0.0,0.0,0.0,63987.0,0.0,0.0,0.0,1,1982,96
203,203,324378074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1982,22
204,204,324420785,0.0,0.0,0.0,0.0,0.0,4744000.0,5012000.0,2014000.0,0.0,2001000.0,1,1982,72
205,205,324787571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1982,96
206,206,324845015,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,0.0,43000.0,0.0,0,1982,20
207,207,324925106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1982,29
208,208,325090728,1.0,0.0,1.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,1,1982,22
209,209,325092328,0.0,0.0,0.0,0.0,0.0,0.0,786117.0,900082.0,770804.0,957483.0,1,1982,71
210,210,325346435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,96
211,211,325820751,35.0,12.0,3.0,9.0,4.0,1360000.0,1685000.0,1396000.0,659000.0,525000.0,1,1958,32
212,212,326134699,0.0,1.0,0.0,0.0,0.0,135380.0,333107.0,265466.0,0.0,0.0,1,1983,71
213,213,326312964,0.0,0.0,0.0,0.0,0.0,479491.0,137496.0,0.0,300061.0,254682.0,1,1983,20
214,214,326577574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1980,25
215,215,326686979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,32
216,216,326699659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,22
217,217,326780541,0.0,0.0,0.0,0.0,0.0,655535.0,618000.0,0.0,669000.0,1105000.0,1,1967,29
218,218,326890548,0.0,0.0,0.0,0.0,0.0,0.0,14913.0,0.0,0.0,23258.0,1,1983,22
219,219,326945102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,32
220,220,327084778,0.0,0.0,0.0,0.0,0.0,11205000.0,8431000.0,6696000.0,10457000.0,1221241.0,1,1983,72
221,221,327153722,14.0,10.0,10.0,3.0,0.0,1385000.0,1660000.0,2191000.0,2598000.0,1407000.0,0,1983,29
222,222,327205373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,25
223,223,327336103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527000.0,295000.0,1,1983,22
224,224,327560223,0.0,0.0,0.0,0.0,0.0,86550.0,109381.0,92298.0,0.0,0.0,1,1983,25
225,225,327852125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22794.0,0.0,0.0,1,1983,25
226,226,327867925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,20
227,227,327932034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,71
228,228,328031042,8.0,4.0,1.0,1.0,2.0,0.0,0.0,209000.0,0.0,1195840.0,1,1983,26
229,229,328179957,0.0,0.0,0.0,0.0,0.0,437774.0,670095.0,595893.0,578417.0,810086.0,0,1983,26
230,230,328195193,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1983,71
231,231,328195607,0.0,0.0,0.0,0.0,0.0,159554.0,232473.0,50940.0,0.0,0.0,1,1983,62
232,232,328202320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,20
233,233,328274410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,30
234,234,328297841,0.0,0.0,0.0,0.0,0.0,630305.0,378000.0,758000.0,0.0,200000.0,1,1983,21
235,235,328368857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,29
236,236,328409529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1983,22
237,237,328539911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1983,25
