siren,2016_CIR,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR,activitePrincipaleUniteLegale,categorieEntreprise,Division,somme_CIR
646950634.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22.22Z,ETI,22,
647020478.0,0.0,0.0,0.0,145000.0,21000.0,0.0,0.0,0.0,22.23Z,ETI,22,166000.0
647050616.0,0.0,0.0,0.0,,14394.0,0.0,0.0,0.0,22.29A,ETI,22,
647250240.0,0.0,119076.0,0.0,55799.0,0.0,39483.0,,,22.22Z,ETI,22,
649800737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31Z,ETI,29,0.0
652001744.0,224478.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.51B,ETI,26,
652011867.0,116505.0,179761.0,151499.0,645814.0,470210.0,0.0,0.0,821423.0,26.51A,GE,26,2385212.0
652020637.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26.51B,ETI,26,
652025370.0,1370000.0,5442000.0,1742000.0,1415000.0,1148000.0,1958000.0,1772000.0,2060000.0,29.31Z,GE,29,16907000.0
652030677.0,0.0,0.0,0.0,806000.0,2445000.0,821000.0,1046000.0,5675000.0,71.12B,ETI,71,10793000.0
652031832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,71.12B,ETI,71,5000.0
652040809.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.40Z,ETI,32,
652042458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203387.0,72.19Z,ETI,72,203387.0
652044827.0,0.0,0.0,3947000.0,1802000.0,1620000.0,0.0,0.0,,26.51A,ETI,26,
653820167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59Z,GE,20,0.0
655780302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.50B,GE,32,0.0
655780559.0,55218.0,0.0,0.0,21440.0,0.0,0.0,0.0,50818.0,20.52Z,ETI,20,127476.0
656850054.0,931000.0,336000.0,841000.0,1326000.0,656000.0,709000.0,122000.0,60084.0,20.59Z,GE,20,4981084.0
657380531.0,0.0,0.0,,0.0,0.0,0.0,4970.0,0.0,22.23Z,GE,22,
662001403.0,5817000.0,3600000.0,4000.0,8284.0,5178000.0,5076000.0,5400000.0,4400000.0,71.12B,ETI,71,29483284.0
662014661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.72Z,GE,25,
662018068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61727.0,29.10Z,ETI,29,61727.0
662019322.0,1344189.0,1350523.0,908427.0,766567.0,602327.0,540179.0,657605.0,493203.0,20.14Z,ETI,20,6663020.0
662025006.0,0.0,0.0,0.0,0.0,78247.0,112843.0,96838.0,57656.0,22.21Z,ETI,22,345584.0
662027374.0,26469.0,31222.0,0.0,0.0,0.0,0.0,0.0,573836.0,20.11Z,GE,20,631527.0
662029719.0,302690.0,0.0,,,,0.0,0.0,0.0,20.42Z,ETI,20,
662032176.0,0.0,,,,,,,,71.12B,ETI,71,
662037704.0,0.0,237388.0,230856.0,187279.0,0.0,380135.0,299048.0,220000.0,20.16Z,ETI,20,1554706.0
662043405.0,5565109.7,6776979.0,3612303.0,4578100.0,5574200.0,4144500.0,9753000.0,788900.0,30.40Z,GE,30,40793091.7
662750074.0,7535000.0,0.0,3816000.0,3034000.0,339000.0,339000.0,1785858.0,1850280.0,29.10Z,GE,29,18699138.0
663650257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.20Z,GE,29,0.0
665420014.0,0.0,0.0,,,79130.0,88307.0,88307.0,,32.12Z,ETI,32,
666580352.0,929112.0,790397.0,0.0,0.0,778600.0,0.0,,0.0,20.20Z,GE,20,
667080402.0,0.0,0.0,0.0,0.0,,,,0.0,29.20Z,ETI,29,
667280143.0,0.0,0.0,0.0,0.0,708957.0,783127.0,799096.0,2571741.0,29.20Z,ETI,29,4862921.0
669801383.0,13301883.0,4842855.0,20425949.0,19154456.0,1269323.0,9939747.0,36403425.0,10637070.0,71.12B,GE,71,115974708.0
669803819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.51B,ETI,26,0.0
669839474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
672004660.0,144414.0,875327.0,0.0,0.0,0.0,4087.0,50000.0,178971.0,71.12B,GE,71,1252799.0
672016292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42Z,ETI,20,0.0
672038270.0,0.0,0.0,0.0,,0.0,,0.0,0.0,71.12B,ETI,71,
672038288.0,0.0,0.0,0.0,0.0,775792.0,,0.0,0.0,71.12B,ETI,71,
672041902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.20Z,ETI,21,0.0
673620399.0,18400000.0,43800000.0,24000000.0,19000000.0,8600000.0,8600000.0,19500000.0,24600.0,20.59Z,GE,20,141924600.0
675450167.0,26000.0,0.0,,0.0,0.0,0.0,0.0,,25.99A,ETI,25,
675580344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.99B,ETI,25,
675620413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22Z,ETI,22,0.0
676180169.0,0.0,319878.0,195634.0,0.0,94827.0,67666.0,0.0,0.0,25.99A,ETI,25,678005.0
676250111.0,0.0,12411.0,4400000.0,3839.0,3200000.0,3600.0,12285.0,5537.0,21.20Z,ETI,21,7637672.0
676680341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.50B,ETI,25,0.0
677280331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.99B,ETI,25,0.0
679804047.0,1019000.0,787346.0,680287.0,943916.0,980041.0,650897.0,2378452.0,1055536.0,71.12B,ETI,71,8495475.0
680800810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
682008222.0,283015.0,271991.0,309024.0,378599.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,1242629.0
682008701.0,0.0,80303.0,0.0,0.0,0.0,0.0,0.0,,26.51B,ETI,26,
682030267.0,168065.0,298274.0,0.0,0.0,0.0,605262.0,456700.0,428372.0,71.12B,GE,71,1956673.0
682031224.0,0.0,0.0,0.0,0.0,0.0,0.0,424000.0,380000.0,20.41Z,ETI,20,804000.0
682041496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
685520041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.01A,ETI,96,0.0
685550444.0,70109.0,109926.0,97544.0,404982.0,140954.0,170194.0,0.0,252134.0,71.12B,ETI,71,1245843.0
685780363.0,9633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.29A,ETI,22,9633.0
686650276.0,0.0,118370.0,0.0,0.0,,1368.0,3986.0,57552.0,20.20Z,ETI,20,
688202696.0,67101.0,7022803.0,0.0,805909.0,766489.0,489834.0,489834.0,0.0,22.22Z,ETI,22,9641970.0
688500701.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.20Z,ETI,29,
692015217.0,4495.0,0.0,0.0,,671.0,5222.0,0.0,,30.30Z,GE,30,
692018211.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.14Z,ETI,20,
692021058.0,0.0,0.0,0.0,0.0,0.0,548011.0,0.0,0.0,71.12B,ETI,71,548011.0
692021470.0,0.0,17200000.0,46800000.0,14100000.0,40200000.0,13600000.0,13400000.0,14900000.0,26.51B,ETI,26,160200000.0
692027808.0,0.0,0.0,24296.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,24296.0
692027899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.12Z,ETI,25,0.0
692034945.0,0.0,92210.0,57457.0,0.0,0.0,0.0,0.0,0.0,20.30Z,ETI,20,149667.0
692037518.0,580000.0,308000.0,0.0,797000.0,0.0,648000.0,0.0,397000.0,71.12B,ETI,71,2730000.0
692039688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.40Z,ETI,32,0.0
692045404.0,0.0,0.0,0.0,0.0,0.0,63184.0,,,26.70Z,ETI,26,
692720790.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,71.12B,ETI,71,
693620320.0,,0.0,0.0,0.0,0.0,0.0,0.0,,25.11Z,ETI,25,
693650194.0,10000.0,49600.0,28800.0,32500.0,32600.0,,105200.0,0.0,29.20Z,ETI,29,
695521468.0,0.0,0.0,,,0.0,0.0,,0.0,71.12B,ETI,71,
696780428.0,156666.0,1375131.0,1430497.0,261147.0,0.0,,268510.0,,25.61Z,ETI,25,
698800935.0,809000.0,0.0,348034.0,1286823.0,,2244224.0,6005167.0,6000000.0,30.20Z,GE,30,
699800306.0,0.0,971000.0,0.0,1108000.0,1097000.0,1192000.0,1141000.0,1240000.0,26.30Z,ETI,26,6749000.0
699806675.0,159000.0,0.0,0.0,364000.0,116000.0,121000.0,151000.0,121000.0,71.12B,ETI,71,1032000.0
900195777.0,,,,,,0.0,0.0,0.0,71.12B,ETI,71,
900289976.0,,,,,,0.0,0.0,0.0,71.12B,ETI,71,
900378175.0,,,,,,0.0,,,71.12B,ETI,71,
900438854.0,,,,,,0.0,0.0,0.0,71.12B,ETI,71,
900599895.0,,,,,,,0.0,0.0,21.20Z,GE,21,
900650862.0,,,,,,,0.0,,62.02A,ETI,62,
900655747.0,,,,,,0.0,0.0,0.0,62.02A,ETI,62,
900801879.0,,,,,,,0.0,0.0,71.12B,ETI,71,
900880626.0,,,,,,0.0,0.0,0.0,29.20Z,ETI,29,
